Gene	miRNA
FUT8	hsa-mir-625
NGB	hsa-mir-1260
GTF2A1	ACA65
SNORA79	ACA65
C14orf159	SNORA11B
SNORA11B	SNORA11B
SNHG10	U93
SCARNA13	U93
EVL	hsa-mir-342
MEG3	hsa-mir-770
RTL1	hsa-mir-431
RTL1	hsa-mir-433
RTL1	hsa-mir-127
RTL1	hsa-mir-432
RTL1	hsa-mir-136
MEG8	14q(0)
SNORD113-1	14q(I-1)
SNORD113-2	14q(I-2)
SNORD113-4	14q(I-4)
SNORD113-5	14q(I-5)
SNORD113-6	14q(I-6)
SNORD113-7	14q(I-7)
SNORD113-9	14q(I-9)
SNORD114-1	14q(II-1)
SNORD114-2	14q(II-2)
SNORD114-3	14q(II-3)
SNORD114-4	14q(II-4)
SNORD114-5	14q(II-5)
SNORD114-6	14q(II-6)
SNORD114-7	14q(II-7)
SNORD114-8	14q(II-8)
SNORD114-9	14q(II-9)
SNORD114-10	14q(II-10)
SNORD114-11	14q(II-11)
SNORD114-12	14q(II-12)
SNORD114-13	14q(II-13)
SNORD114-14	14q(II-14)
SNORD114-15	14q(II-15)
SNORD114-16	14q(II-16)
SNORD114-17	14q(II-17)
SNORD114-18	14q(II-18)
SNORD114-19	14q(II-19)
SNORD114-20	14q(II-20)
SNORD114-21	14q(II-21)
SNORD114-22	14q(II-22)
SNORD114-23	14q(II-23)
SNORD114-24	14q(II-24)
SNORD114-25	14q(II-25)
SNORD114-26	14q(II-26)
SNORD114-27	14q(II-27)
SNORD114-28	14q(II-28)
SNORD114-29	14q(II-29)
SNORD114-30	14q(II-30)
SNORD114-31	14q(II-31)
EIF5	ACA28
SNORA28	ACA28
SNORD107	HBII-436
PAR-SN	HBII-436
PAR5	HBII-13
SNORD64	HBII-13
PAR5	HBII-437
SNORD108	HBII-437
SNORD109B	HBII-438A
SNORD109A	HBII-438A
SNORD116-1	HBII-85-1
SNORD116-9	HBII-85-3
SNORD116-3	HBII-85-3
SNORD116-4	HBII-85-4
SNORD116-7	HBII-85-5
SNORD116-5	HBII-85-5
SNORD116-2	HBII-85-6
SNORD116-6	HBII-85-6
SNORD116-8	HBII-85-8
SNORD116-10	HBII-85-10
